symbol,price,trailingPE,forwardPE,pegRatio,priceToSales,priceToBook,enterpriseToEbitda,enterpriseToRevenue,priceToCash,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,totalCashPerShare,bookValue,totalDebt,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,trailingEps,forwardEps,epsCurrentYear,dividendRate,dividendYield,payoutRatio,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,sharesOutstanding,floatShares,beta,rsi_14,sma20_dist,sma50_dist,sma200_dist,avgVolume,fiftyTwoWeekHigh,fiftyTwoWeekLow,perf_week,perf_month,perf_quarter,perf_half_y,perf_ytd,perf_3y,perf_5y,perf_10y,fullTimeEmployees,recommendationMean,target_52WeekChange
TXG,21.2,,-54.827118,,4.1802216,3.4165998,-23.102,3.509,5.5657652927277494,-0.11891,0.68944,-0.21169001,-0.08420999,-0.10123,3.809,6.205,86985000.0,11.079,4.479,3.928,-0.017,,-0.63,-0.38667,-0.02667,,,0.0,0.01824,1.08572,7.78,0.1903,116474179.0,114307778.0,2.181,70.49031004066467,0.17908787416633387,0.24065122485047796,0.662503871987202,2744264.0,21.502,6.78,0.09901498153560044,0.34945894007143385,0.712439402586984,0.7028112710671064,0.27557153607086426,-0.5111828332461825,-0.8820058985025122,-0.5981042654028436,1306.0,2.47059,0.3863486
BCOW,11.13,,,,4.8470774,0.8435652,,9.434,2.400258788009489,-0.27587,0.0,-0.102740005,-0.00583,-0.04553,4.637,13.194,75792000.0,,,,1.168,,-0.6,,,,,0.0,0.15134,0.03718,1.49,0.0021,5134607.0,5535591.0,0.157,54.18162507046455,-0.001117335591863316,0.012156978363121209,0.0538103196340201,2263.0,11.39,8.67,-0.0017936878219291712,-0.008021413982786024,0.011818181818181889,0.07536227920597548,0.00906620756570698,0.10967101658166803,0.10744059700149908,0.15937495393057854,88.0,,0.110000014
ONCH,10.23,,,,,-27.798912,,,292.2857142857143,0.0,0.0,0.0,,,0.035,-0.368,0.0,,0.064,,,,,,,,,,0.0,0.58663,0.18,,17250000.0,15187410.0,,49.49741241777456,0.0011009267740598673,-0.003297011644764498,-0.006006132640951346,33377.0,10.629,10.16,0.0009784474275849493,-0.0009765401700855413,-0.012548229824839623,0.0009784474275849493,0.0009784474275849493,0.0009784474275849493,0.0009784474275849493,0.0009784474275849493,,,0.0019569397
ONCHU,10.3613,,,,,-28.155708,,,296.03714285714284,0.0,0.0,0.0,,,0.035,-0.368,0.0,,0.064,,,,,,,,,,0.0,0.47316003,0.25,,,15187410.0,,42.00297921255436,-0.0028308816220305867,-0.01014190644148637,-0.011163291046462673,12017.0,11.354,10.2,-0.002762304367121464,-0.007538274286061935,-0.01881632686752408,-0.002762304367121464,-0.0008389475077234329,0.01184572574151439,0.01184572574151439,0.01184572574151439,,,0.013183594
SRCE,65.37,10.876872,10.251432,,3.9570289,1.2917951,,3.955,7.454669859733151,0.36652002,0.0,0.51418996,0.01667,0.120459996,8.769,50.604,193050000.0,,,,0.141,0.213,6.01,6.37667,6.48,1.6,2.49,0.2463,0.26115,0.74716,1.9,0.0119,24434704.0,18008866.0,0.636,59.97058321222254,0.019391354172639565,0.035249476594841754,0.06353122628225319,85337.0,67.77,52.14,0.01004324423728461,-0.012090043691746096,0.14352186663550792,0.03440086299704597,0.04658983282391313,0.3301692228194769,0.7339545004176948,1.9141388821456982,1205.0,,0.117043495
OWSCX,19.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.80914602730108,0.0030456068000902156,-0.011000308419862352,-0.012173270148020067,,19.79,19.07,0.002083293514120755,0.005713975786615857,0.015045317950158624,0.03547296153569382,0.004175373341597102,0.3429457241529106,0.3854372083099303,0.4110681006432078,,,
TETH,16.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.20474625003979,0.07606455398137518,0.058903950575883886,0.028926817423453297,437316.0,24.27,7.27,0.06003875033076934,0.11620164061554926,-0.1486793497700176,-0.03746404553816269,0.055265819746693916,-0.04971149510335007,-0.04971149510335007,-0.04971149510335007,,,
TSOL,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.07354639438019,0.07896474225313105,0.06733350741928153,0.06733350741928153,32560.0,14.91,11.735,0.025974051388184517,0.09976795548162844,0.0675675920267098,0.0675675920267098,0.0764572262631655,0.0675675920267098,0.0675675920267098,0.0675675920267098,,,
TOXR,20.1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.69666521355765,0.03365891190437343,0.03854322492664445,0.03854322492664445,97939.0,23.38,17.61,-0.027653754206561392,0.07128588347133402,0.019549956456507867,0.019549956456507867,0.041458793257844004,0.019549956456507867,0.019549956456507867,0.019549956456507867,,,
MMM,171.1,27.288677,19.88171,3.3981,3.6710148,19.639578,15.962,3.961,17.519967233258242,0.137,0.40979,0.24367,0.07971,0.72920996,9.766,8.712,13178999808.0,281.904,1.842,1.027,0.035,-0.375,6.27,8.6059,8.02525,2.92,1.72,0.4609,0.00103,0.74406,3.35,0.015,531225048.0,530428210.0,1.159,64.53696147895442,0.04492696115241886,0.03164515747813108,0.10984623667422339,2937430.0,174.69,121.98,0.03546353372082379,0.048406882349778725,0.13489992410188661,0.08544504738290952,0.05734762239373818,0.8070135891714644,0.4861808966302508,1.056361291505725,61500.0,2.11111,0.22136796
