symbol,price,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,trailingPegRatio,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenueGrowth,earningsGrowth,beta,debtToEquity,heldPercentInsiders,heldPercentInstitutions,target_52WeekChange
TXG,21.19,,-54.801254,3.414988,4.1782494,-23.102,,-0.11891,0.68944,-0.21169001,-0.08420999,-0.10123,-0.017,,2.181,11.079,0.01824,1.08572,0.3863486
BCOW,11.1,,,0.8412915,4.8340125,,,-0.27587,0.0,-0.102740005,-0.00583,-0.04553,1.168,,0.157,,0.15134,0.03718,0.110000014
ONCH,10.23,,,-27.798912,,,,0.0,0.0,0.0,,,,,,,0.0,0.58663,0.0019569397
ONCHU,10.35,,,-28.125002,,,,0.0,0.0,0.0,,,,,,,0.0,0.47316003,0.013183594
SRCE,65.26,10.858569,10.234182,1.2896215,3.9503703,,,0.36652002,0.0,0.51418996,0.01667,0.120459996,0.141,0.213,0.636,,0.26115,0.74716,0.117043495
OWSCX,19.24,,,,,,,,,,,,,,,,,,
TETH,16.555,,,,,,,,,,,,,,,,,,
TSOL,14.39,,,,,,,,,,,,,,,,,,
TOXR,20.4,,,,,,,,,,,,,,,,,,
MMM,172.884,27.573206,20.08901,19.844353,3.709291,15.962,3.3981,0.137,0.40979,0.24367,0.07971,0.72920996,0.035,-0.375,1.159,281.904,0.00103,0.74406,0.22136796
TGOPF,41.91,4.811711,,1.0911064,6.245491,6.522,,0.94819,1.0,0.9784,0.15269,0.25048,0.721,0.606,1.062,4.446,0.02024,0.69748,-0.09618288
COE,29.0,,-145.0,-7.2031794,2.092283,-1175.815,,-0.13113,0.75277,-0.15786,-0.10875,,0.875,,0.284,,0.36907002,0.15437001,0.46650004
AKA,11.635,,-6.85755,1.1312592,0.21195185,27.509,,-0.04417,0.57439,-0.00823,-0.010299999,-0.21285999,-0.019,,1.64,191.421,0.37402,0.56727004,-0.34982353
ATEN,17.52,25.391306,18.548122,6.089677,4.444751,17.228,,0.17782,0.79662,0.17399,0.061750002,0.23884001,0.119,-0.003,1.221,110.969,0.01342,0.99955004,-0.07051283
AAM,10.68,,,1.3217822,,,,0.0,0.0,0.0,,,,0.104,,0.281,0.26801002,1.0693699,0.055336
AAM-UN,10.6,,,1.3118813,,,,0.0,0.0,0.0,,,,0.104,,0.281,0.0,0.0,0.04686773
YCY,10.02,,,-233.02325,,,,0.0,0.0,0.0,,,,,,,,,0.005035281
YCY-UN,10.085,,,-234.53488,,,,0.0,0.0,0.0,,,,,,,0.02816,0.0,0.012550235
ACMR,53.81,31.284883,25.870193,2.436716,3.9654703,20.144,,0.13303,0.46683,0.10746,0.0357,0.09937,0.32,0.137,1.449,15.757,0.15001,0.75667,1.8557692
ACR,20.508,21.81702,23.939205,0.3340609,1.7121464,,,0.32154,0.35638002,0.20313999,0.01674,0.070250005,0.104,2.722,1.195,283.925,0.18067,0.50856996,0.14067793
ACR-PC,25.0383,49.385204,,0.40785632,,,,0.32154,0.35638002,0.20313999,0.01674,0.070250005,0.104,2.722,1.195,283.925,0.0012899999,0.24603,0.01497364
ACR-PD,21.96,43.313606,,0.35771298,,,,0.32154,0.35638002,0.20313999,0.01674,0.070250005,0.104,2.722,1.195,283.925,0.00032000002,0.29726,-0.013022006
AGNC,11.6599,17.402836,7.359189,1.3198891,13.083531,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,0.00332,0.40335998,0.21151829
AGNCL,24.85,,,2.8129954,,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,,,0.019462824
AGNCM,24.85,,,2.8129954,9.240639,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,0.0,0.23431998,-0.014095664
AGNCN,25.57,,,2.8944986,9.186236,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,0.0,0.000120000004,-0.009720087
AGNCO,25.25,,,2.858275,,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,0.0,0.00195,-0.0019754767
AGNCP,24.925,,,2.8214853,,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,,,0.0097362995
AGNCZ,25.7838,,,2.9187007,,,,0.87657,1.0,0.96411,0.00844,0.07943,1.223,0.857,1.348,649.222,,,0.01948309
AIIA-UN,10.21,,,5105.0,,,,,,,,,,,,,,,
AIBRF,10.55,10.144232,14.066667,1.349708,4.9038258,,,0.47248,0.0,0.54541,0.01543,0.15167,-0.106,-0.071,0.751,,0.00013,0.70055,0.9485816
AIRO,13.215,,-25.660194,0.5593651,5.0229516,-53.445,,-0.058509998,0.63782,-1.9065,-0.01584,-0.00741,-0.735,,,1.985,0.34702,0.25481,-0.44875002
AOSL,22.73,,100.27794,0.81898105,0.98065484,27.8,,-0.13864,0.22865999,0.12612,-0.01883,-0.111719996,0.449,,1.961,39.038,0.16567,0.74402,-0.42573738
ACIC,11.305,6.5346823,7.664407,1.5244068,1.6790731,3.823,2.428,0.25955,0.49560001,-0.1003,0.06369,0.29345,-0.235,,-0.567,46.73,0.48719,0.34525,-0.066170394
AR,31.937,16.897884,9.107864,1.340764,1.9675261,,0.2717,0.11788999,0.67002,0.111999996,0.03253,0.08578,0.134,,0.507,47.492,0.06583,0.87728,-0.21271878
APA,25.95,6.2093306,9.625048,1.5475197,0.9902473,2.483,,0.16093999,0.66542,0.27281,0.099259995,0.27427998,-0.164,,0.743,66.895,0.00435,0.99334,0.061232567
